stored_at,submitted_at,session_id,brand_id,brand_name,quiz_id,analysis_mode,personality_id,personality_name,overall_confidence,q1_answer_id,q1_answer_text,q1_confidence,q2_answer_id,q2_answer_text,q2_confidence,q3_answer_id,q3_answer_text,q3_confidence
2026-04-07T21:38:02.209Z,2026-04-07T21:38:00.586Z,93a24d0c-8d9b-4b5f-89f8-13762cda719c,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,market-signal-mule,Market Signal Maven,0.8677,A,Dive deep into data,0.8964,A,Analyze all available data,0.9047,B,Strategic foresight,0.8710
2026-04-07T21:36:25.868Z,2026-04-07T21:36:24.230Z,78828bc2-6338-43c4-8e7d-ef07af9adc54,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,analytical-mojito,Strategy Sage,0.8234,C,Blend intuition with analytics,0.9329,C,Trust your instincts,0.9486,A,Leveraging comprehensive data,0.9884
2026-04-07T21:15:07.207Z,2026-04-07T21:15:04.572Z,d999c74c-404b-44ce-ad67-18278388495d,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,analytical-mojito,Strategy Sage,0.8216,C,Blend intuition with analytics,0.8878,B,Seek expert opinions,0.9476,C,Building strong relationships,0.9099
2026-04-07T21:14:06.900Z,2026-04-07T21:14:04.772Z,8fbefb76-5363-455b-84b9-7f7cfec9262d,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,analytical-mojito,Strategy Sage,0.8488,C,Blend intuition with analytics,0.9058,C,Trust your instincts,0.9044,B,Strategic foresight,0.9071
2026-04-07T21:14:02.865Z,2026-04-07T21:14:01.486Z,96caa89b-f97a-4e7f-a212-bba27d178b7e,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,market-signal-mule,Market Signal Maven,0.8021,A,Dive deep into data,0.8992,C,Trust your instincts,0.9868,A,Leveraging comprehensive data,0.9072
2026-04-07T21:09:16.496Z,2026-04-07T21:09:14.706Z,9492800f-7370-465f-b365-18a39df2bc15,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,market-signal-mule,Market Signal Maven,0.8821,A,Dive deep into data,0.9352,A,Analyze all available data,0.9909,C,Building strong relationships,0.9062
2026-04-07T21:05:00.071Z,2026-04-07T21:04:57.725Z,aeb9d502-8a32-433b-beaf-111ba59da2d0,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,analytical-mojito,Strategy Sage,1.0000,C,Blend intuition with analytics,0.9758,C,Trust your instincts,0.8928,C,Building strong relationships,0.9375
2026-04-07T21:01:50.289Z,2026-04-07T21:01:48.095Z,068a1a98-3cc1-4131-b5c4-9a99d779fe7a,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,analytical-mojito,Strategy Sage,0.8678,C,Blend intuition with analytics,0.9751,C,Trust your instincts,0.9802,A,Leveraging comprehensive data,0.9454
2026-04-07T21:01:30.219Z,2026-04-07T21:01:27.708Z,fbed9ae0-33b0-4645-9292-2dc9a6a3a7fc,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,analytical-mojito,Strategy Sage,0.8886,C,Blend intuition with analytics,0.9435,B,Seek expert opinions,0.8991,C,Building strong relationships,0.9913
2026-04-07T21:01:03.702Z,2026-04-07T21:01:02.525Z,d002f945-9b13-4e2d-862f-ce5beb78848f,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,market-signal-mule,Market Signal Maven,0.8480,C,Blend intuition with analytics,0.9114,A,Analyze all available data,0.9099,A,Leveraging comprehensive data,0.9059
2026-04-07T21:00:44.516Z,2026-04-07T21:00:42.211Z,d6394b48-63b9-4216-a3ad-c5d412be878e,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,blackberry-analytics-smash,Analytics Trailblazer,0.8371,B,Focus on strategic insights,0.9888,B,Seek expert opinions,0.9531,A,Leveraging comprehensive data,0.9946
2026-04-07T20:59:05.087Z,2026-04-07T20:58:59.908Z,ad8c0c7f-2b35-467a-97fd-77d379909335,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,blackberry-analytics-smash,Analytics Trailblazer,0.4866,C,Blend intuition with analytics,0.8954,A,Analyze all available data,0.9032,B,Strategic foresight,0.9883
2026-04-07T20:51:06.595Z,2026-04-07T20:51:03.172Z,674eb3be-8900-42c4-bf75-07be634eb1c8,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,analytical-mojito,Strategy Sage,0.8533,A,Dive deep into data,0.8799,C,Trust your instincts,0.9027,C,Building strong relationships,0.8679
2026-04-07T20:49:20.725Z,2026-04-07T20:49:18.066Z,0499a73d-861d-4722-b98c-7ddee74344f4,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,analytical-mojito,Strategy Sage,0.8719,C,Blend intuition with analytics,0.9507,C,Trust your instincts,0.8887,A,Leveraging comprehensive data,0.8824
2026-04-07T20:48:49.422Z,2026-04-07T20:48:47.211Z,693dcaa9-521d-4094-9b37-edfb26c62832,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,blackberry-analytics-smash,Analytics Trailblazer,0.5017,C,Blend intuition with analytics,0.8158,B,Seek expert opinions,0.9665,A,Leveraging comprehensive data,0.8530
2026-04-07T19:20:49.031Z,2026-04-07T19:20:46.563Z,5f66d761-79bd-4ee9-ad4a-c7322f8f9f95,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,analytical-mojito,Strategy Sage,0.4822,A,Dive deep into data,0.9037,B,Seek expert opinions,0.9065,C,Building strong relationships,0.9814
2026-04-07T19:19:55.901Z,2026-04-07T19:19:53.509Z,ef8d4ff2-1013-4c97-8a92-5b34fd7651d9,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,analytical-mojito,Strategy Sage,0.8354,C,Blend intuition with analytics,0.9707,B,Seek expert opinions,0.9850,C,Building strong relationships,0.9465
2026-04-07T18:18:06.811Z,2026-04-07T18:18:04.247Z,2e91b25e-1dc0-448d-804a-74b037c2167a,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,blackberry-analytics-smash,Analytics Trailblazer,0.4670,C,Blend intuition with analytics,0.8529,B,Seek expert opinions,0.9431,A,Leveraging comprehensive data,0.9049
2026-04-07T18:09:22.136Z,2026-04-07T18:09:17.332Z,b6ef41d5-bec5-4891-bc55-8f98d3b15266,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,analytical-mojito,Strategy Sage,0.8827,B,Focus on strategic insights,0.8733,C,Trust your instincts,0.9095,C,Building strong relationships,0.9487
2026-04-07T17:15:50.376Z,2026-04-07T17:15:47.323Z,5917d9f5-1c04-4a6d-bd29-50d8f3833087,sandp,S&P Capital IQ Pro,sandp-capital-iq-pro-v1,openai,analytical-mojito,Strategy Sage,0.8264,A,Dive deep into data,0.9833,C,Trust your instincts,0.9379,C,Building strong relationships,0.9441
